Trait	Tags	Conflicts	Modifier
"A maverick, but doesn't think of him/herself as one."	"Self-conception,Personality"		
A maverick; this (self?) perception is important to him/her.	"Self-conception,Personality"		
"A maverick, but wishes he/she weren't."	"Self-conception,Personality"		
"A humorist, but doesn't think of him/herself as one."	"Self-conception,Personality"		
A humorist; this (self?) perception is important to him/her.	"Self-conception,Personality"		
"A humorist, but wishes he/she weren't."	"Self-conception,Personality"		
"An asshole, but doesn't think of him/herself as one."	"Self-conception,Personality"		
An asshole; this (self?) perception is important to him/her.	"Self-conception,Personality"		
"An asshole, but wishes he/she weren't."	"Self-conception,Personality"		
"A hero, but doesn't think of him/herself as one."	"Self-conception,Personality"		
A hero; this (self?) perception is important to him/her.	"Self-conception,Personality"		
"A hero, but wishes he/she weren't."	"Self-conception,Personality"		
"Popular/well-liked, but wouldn't think of him/herself as particularly so."	"Self-conception,Personality"		
Popular/well-liked; this (self?) perception is important to him/her.	"Self-conception,Personality"		
"Popular/well-liked, but wishes he/she weren't."	"Self-conception,Personality"		
"Unpopular/an outsider, but isn't aware of it."	"Self-conception,Personality"		
Unpopular/an outsider; this (self?) perception is important to him/her.	"Self-conception,Personality"		
"Unpopular/an outsider, but wishes he/she weren't."	"Self-conception,Personality"		
"Seen as a villain, but doesn't think of him/herself as one."	"Self-conception,Personality"		
Considers him/herself a villain; this (self?) perception is important to him/her.	"Self-conception,Personality"		
"A villain, but wishes he/she weren't."	"Self-conception,Personality"		
Adrenaline junkie.	"Preference,Personality"		
Likes to play things close to the chest; prefers to keep knowledge/plans secret.	"Social,Personality"		
Social brinksman. Can't resist pushing situations further.	"Social,Personality"		
Tends to speak without thinking or considering tact.	"Social,Personality"		
Tends to put his/her foot in his/her mouth.	"Social,Personality"		
Takes pride in his/her appearance. Considers looking sharp a tool in and of itself.	"Social,Appearance,Personality"		
Condescends to those outside his/her field. Often over- or under-estimates laymen's understanding.	"Social,Personality"		
Has a god complex. Considers others beneath his/her time.	"Social,Personality"		
"Has a difficult time apologising, admitting fault, or taking responsibility."	"Social,Personality"		
Prone to overanalysis and overthinking.	"Nature,Personality"		
Relies on his/her roguish charm.	"Social,Personality"		
"Distrustful of everyone, including his/her friends."	"Social,Personality"		
Needs to be the center of attention.	"Social,Personality"		
Compliments others often and easily.	"Social,Personality"		
Perfectly comfortable with normally-uncomfortable conversations or confrontation.	"Social,Personality"		
Extremely blunt and straightforward.	"Social,Nature,Personality"		
Very dry sense of humor.	"Social,Preference,Personality"	Humor	
Finds it difficult to care about people in the abstract.	"Social,Ethic,Personality"	Abstract	
Has to prove he/she's the smartest person in the room.	"Nature,Social,Nature,Personality"		
"Cares extremely deeply for his/her friends, but little for anyone else."	"Ethic,Social,Personality"		
Results-oriented thinking; doesn't mind breaking rules or regulations.	"Ethic,Social,Personality"	Rules	
Extremely firm moral rules.	"Ethic,Personality"		
Believes regulations are there for a reason and shouldn't be violated.	"Ethic,Personality"	Rules	
Finds it difficult to care about anyone except in the abstract.	"Ethic,Nature,Personality"	Abstract	
Uses humor to deflect from emotions.	"Emotional,Personality"		
Uncomfortable with direct conversations.	"Emotional,Personality"		
Paranoid; devotes a lot of time to plans or skills others consider unnecessary at best.	"Nature,Personality"		
Always hungry/willing to eat.	"Preference,Nature,Personality"		
Eyes are bigger than his/her stomach (when it comes to food or otherwise).	"Nature,Personality"		
Gives nicknames to others.	"Social,Personality"		
Forgets others' names constantly.	"Social,Personality"	Names	
Never forgets a face.	"Social,Personality"		
Never forgets a name.	"Social,Personality"	Names	
Has a flair for the dramatic.	"Nature,Social,Preference,Personality"		
Holds grudges for a long time.	"Nature,Social,Personality"	Forgiveness	
Forgives easily.	"Social,Personality"	Forgiveness	
Jumps from hobby to hobby.	"Preference,Nature,Personality"		
Easily bored.	"Nature,Personality"		
